すでに3つチケットを取っているので、今週は取れません。,I can't take a ticket this week because I have already taken 3.
昨日、プルリクを出しました。,I made a pull request yesterday. 
今、Xを開発しています。,I'm developing X now.
修正は今日中に終わると思います。,I think I'll revise it by the end of today.
XをYにマージしました。,I merged X with Y.
このチケットは、Kenさんと一緒に進めています。,I'm working on this ticket with Ken.
システムがちゃんと動いてないことがわかった。,I realized that the system was not working properly. 
来週のリリースには間に合いそうです。,It seems that we'll make the release next week.
QAしてもらえる状態のものがありますか。,Is there anything ready for QA?
課題が見つかった。,We found some issues.
要件は明日、テックリード(TL)に共有します。,I'll share requirements with TLs tomorrow.
まだ仕様が決まってない。,The specs haven't been decided yet.
まだ仕様が固まっていません。,The specs haven't taken shape yet.
それによって(プロジェクトに)支障が出ています。,It interferes with it (our project).
これは、お客様に影響があるインシデントじゃないです。,This is not an incident that has an effect on customers.
これから原因を調べます。,I will look into the causes now.
マネージャーに相談する。,I'll consult with my manager.
何か困ってることがありますか。,Do you have any difficulties?
これはteam Bと連携してやっていきます。,We are aligned with team B to do this (task).
あとでテックリード(TL)とsyncしておきます。,I will sync with TL later.
目標を設定する。,I'll set goals / I am setting goals.
先週修正したけど、Jiraに反映されてません。,"I edited it last week, but it isn't reflected on Jira (yet)."
そのやり方は、効率がよさそう。,That method seems efficient.
詳細はdocsを見てください。,Please check the docs for details.
どんなインシデントだったか詳しく教えてもらえますか。,Could you tell me about the incident in detail?
まだ会社の方針が決まってない。,The company policy has not been decided yet.
ケンさんの話への補足なんですけど、、、,"Let me add something to what Ken said,"
このやり方が効果的だと思います。,I think this way is effective.
先週、OKRを達成しました。,We achieved our OKR last week.
プロジェクトについて報告します。,I will report on the project.
それはEMが議論しているところです。,EMs are discussing it now.
ちょっと不具合があるので、今日中に直します。,"There are some defects, so I'll fix it by the end of the day."
これは、順調に進んでいます。,This is working well.
タスクの量が多すぎます。,There are too many tasks.
具体的にどんなインシデントでしたか。,Could you expain the incident more concretely?
QAのリソースが厳しい状況です。,We're in a tough situation in terms of QA resources.
現状を説明します。,I'll explain about the present situation.
まずは、進捗確認をしましょう。,Let's start with a progress check.
優先順位を決めたほうがいいと思います。,I think we should decide the priority.
残っているチケットはありますか。,Are there any tickets left?
それって、もう着手してますか？,Have you already initiated it? 
最近忙しすぎるので、タスクの量を調整したほうがいいいと思っています。,I'm thinking I should adjust my workload because I've been too busy these days.
全員で認識を合わせたいです。,I'd like to make sure everyone's on the same page.
認識がずれてないか確認したいです。,I'd like to make sure there's no misunderstanding between us.
スケジュールが変更しています。,The schedule has been changed.
来週からキャンペーンが開始します。,We will start a campaign next week.
このプロジェクトは、前倒しで進めましょう,Let's move up this project. (Ex: from next qtr to this qtr)
コードレビューは、来週以降の予定です,We're planning to do a code review sometime after next week.
締切はいつですか。,When is the due date?
他のミーティングがあって、ちょっと遅れるので、先に始めてください。,Please go ahead with the meeting without me as I'm running late due to another meeting.
話したいトピックは、事前に書いておいてください。,Please write the topics you want to talk about in advance.
これは来週リリースなので、早めにやった方がいいと思います。,I think we should work on this earlier because we will release it next week.
一旦、このやり方で進めましょう。,"Let's move forward in this way, temporarily. "
すべてテスト環境に反映しました。,Everything has been reflected in the test environment.
ネット環境が悪くて、業務に支障が出ています。,"The internet environment (ex: wifi) here is bad, which is hindering our business."
どんな機能があったら、もっとお客様のためになると思う?,What features do you think would be more beneficial for our customers?
これは、ちゃんと運用ができていません。,That operation is not working properly. 
QAの観点からすると、このタスクの優先順位は低いです。,"From QA's point of view, the priority of this task is low."
どれが一番重要な問題ですか。,Which one is the most important issue?
画面共有してもらえる？,Can you share your screen?
昨日、デプロイ、完了しました。,I completed the deployment yesterday.
動作確認はいつしますか。,When are you going to test the operation?
これは来週実装します,We're going to implement this next week.
(それは、)バ グを直したので、今は安定しています。,It's stable now since I've resolved the bugs.
オンコールのときに、問題が発生しました。,An issue occurred when I was on call.
これは、他のチームが対応してくれるので、うちのチームはしなくていいです。,"For this issue, our team doesn't need to deal with it since another team will."
Jiraに同じ内容のチケットが２つあるので、こっちは削除しますね。,I'll delete this because there are two tickets with the same content on Jira.
すみません、修正したあと、保存し忘れました。,"Sorry, I forgot to save it after I fixed it."
ロールバックのやり方は今検討中です。,We're now thinking about how to roll it back.
このチケットに関係してる人って、誰だっけ？,Who's the person related to this ticket?
