チケットを取る,take a ticket
すでに,adv. already
プルリクを出す,make/create a pull request 
開発する,v. develop
修正する,"v. correct, revise"
マージする,v. merge
進める,"v. [*transitive verb 他動詞]
1. move forward, proceed with (something)
2. work on "
[システムが]動く,"v. work, operate "
ちゃんと,adv. properly
間に合う,"be in time, make a deadline"
状態,n. status
課題,n. issue
要件,n. requirements
仕様,n. specification document
固まる ,v. take shape (*intransitive verb)
支障,"n. obstacle, hitch "
影響,n. effect
原因,n. cause
相談する,v. consult
困る,v. be in trouble
[人/チームと]連携する,"v. work together, align with"
sync(シンク)する,v. sync
設定する,v. set
反映する,v. reflect
効率,n. efficiency
詳細,n. details
詳しく,adv. in detail
方針,n. policy
補足,"n.  supplementary, additional"
効果的,ナadj. effective
達成する,v. achieve
報告する,v. report
議論する,v. discuss
不具合,"n. defect, bug"
順調,n/ナadj. smooth
量,n. amount
具体的,ナadj. concrete
状況,n. situation
現状,n. present situation
進捗確認,n. progress check
優先順位,n. priority
残る,v. remain
着手する,v. initiate
調整する,v. adjust
認識,"n. recognition, understanding"
ずれる,v. be out of alignment
変更する,v. change
開始する,v. start
前倒しする,v. reschedule to an earlier time
以降,n. sometime after
締切,"n. deadline, due date"
先に,adv. ahead
事前に,adv. in advance
早めに,adv. early
一旦,"adv. temporarily, for a moment"
環境,n. environment
業務,"n. business, task"
機能,"n. feature, function"
運用,n. operation
観点,n. point of view
重要,n./ na-adj.  important
画面共有,n. screen share
デプロイ,n. deployment
動作確認,n. checking or testing operation
実装する,v. implement
安定している,v. be stable
発生する,v. occur
対応する,"v. deal with, handle"
削除する,v. delete
保存する,v. save
検討する,"v. consider, think about"
関係する,v. be related to
継続する,v. continue
測る,v. measure
検索する,v. search
時期,"n. period, season"
未確定,n. / na-adj. undecided
不足,"n. shortage, lack of"
余裕,"n. time / money / space (to spare), have room in someone's mind"
正常,"n. / na-adj.  normally, normal"
最優先,n. top priority
直接,adv. directly
途中,"n. in the middle of, halfway"
処理,n. process
集中する,"v. 1. concentrate (focus on)
    2. concentrated"
遅延する,v. delay
作業をする,v. work 
担当する,"v.  be responsible for, be in charge of "
追加する,v. add
提案する,"v. propose, suggest"
導入する,v. implement
落ちる,"v. drop, go down"
移動する,"v. move, shift"
被る,v. have a schedule conflict  (*casual)
ミーティングを抜ける,v. leave the meeting
けっこう,adv. quite
ギリギリ,"adv. at the last moment, barely"
基本的に,adv.  basically
ちなみに,"adv. also, in addition"
視点,n. point of view
雑談,"n. small talk, chat"
段階,n. phase
既存,n. existing
事例,n. case
品質,n. quality
処理,n.  processing
障害,"n. fault, system error"
クリティカル,"n-adj. critical, specially important"
挙動,"n. (system) behavior, acting"
やつ,n. thing ※casual
作成する,v. make (document or plan)
設計する,"v.  plan, design, layout "
展開する,"v. expand, be open to"
(内容を)詰める,v. decide details
任せる,"v. delegate, leave something with someone"
見積もる,v. estimate
紐づく           ,v. link
感じ,n. like [something]
以外,"n. besides, except"
同時に,"adv. at the same time, simultaneously "
結局,"adv. after all, in the end"
ほぼ ,adv. mostly
そもそも,adv. in the first place 
どんどん,adv. one after the other (usually quickly)
〜側,n. side 
